,Date,Close,position
0,2020-11-13,119.26000213623047,0
1,2020-11-16,120.30000305175781,0
2,2020-11-17,119.38999938964844,0
3,2020-11-18,118.02999877929688,0
4,2020-11-19,118.63999938964844,0
5,2020-11-20,117.33999633789062,0
6,2020-11-23,113.8499984741211,0
7,2020-11-24,115.16999816894531,0
8,2020-11-25,116.02999877929688,0
9,2020-11-27,116.58999633789062,0
10,2020-11-30,119.05000305175781,0
11,2020-12-01,122.72000122070312,0
12,2020-12-02,123.08000183105469,0
13,2020-12-03,122.94000244140625,0
14,2020-12-04,122.25,0
15,2020-12-07,123.75,0
16,2020-12-08,124.37999725341797,0
17,2020-12-09,121.77999877929688,0
18,2020-12-10,123.23999786376953,0
19,2020-12-11,122.41000366210938,0
20,2020-12-14,121.77999877929688,0
21,2020-12-15,127.87999725341797,0
22,2020-12-16,127.80999755859375,0
23,2020-12-17,128.6999969482422,0
24,2020-12-18,126.66000366210938,0
25,2020-12-21,128.22999572753906,0
26,2020-12-22,131.8800048828125,0
27,2020-12-23,130.9600067138672,0
28,2020-12-24,131.97000122070312,0
29,2020-12-28,136.69000244140625,0
30,2020-12-29,134.8699951171875,0
31,2020-12-30,133.72000122070312,0
32,2020-12-31,132.69000244140625,0
33,2021-01-04,129.41000366210938,0
34,2021-01-05,131.00999450683594,0
35,2021-01-06,126.5999984741211,0
36,2021-01-07,130.9199981689453,0
37,2021-01-08,132.0500030517578,0
38,2021-01-11,128.97999572753906,0
39,2021-01-12,128.8000030517578,0
40,2021-01-13,130.88999938964844,0
41,2021-01-14,128.91000366210938,0
42,2021-01-15,127.13999938964844,0
43,2021-01-19,127.83000183105469,0
44,2021-01-20,132.02999877929688,0
45,2021-01-21,136.8699951171875,0
46,2021-01-22,139.07000732421875,0
47,2021-01-25,142.9199981689453,0
48,2021-01-26,143.16000366210938,0
49,2021-01-27,142.05999755859375,0
50,2021-01-28,137.08999633789062,0
51,2021-01-29,131.9600067138672,0
52,2021-02-01,134.13999938964844,0
53,2021-02-02,134.99000549316406,0
54,2021-02-03,133.94000244140625,0
55,2021-02-04,137.38999938964844,0
56,2021-02-05,136.75999450683594,0
57,2021-02-08,136.91000366210938,0
58,2021-02-09,136.00999450683594,0
59,2021-02-10,135.38999938964844,0
60,2021-02-11,135.1300048828125,0
61,2021-02-12,135.3699951171875,0
62,2021-02-16,133.19000244140625,0
63,2021-02-17,130.83999633789062,0
64,2021-02-18,129.7100067138672,0
65,2021-02-19,129.8699951171875,0
66,2021-02-22,126.0,0
67,2021-02-23,125.86000061035156,0
68,2021-02-24,125.3499984741211,0
69,2021-02-25,120.98999786376953,-1
70,2021-02-26,121.26000213623047,0
71,2021-03-01,127.79000091552734,0
72,2021-03-02,125.12000274658203,0
73,2021-03-03,122.05999755859375,0
74,2021-03-04,120.12999725341797,0
75,2021-03-05,121.41999816894531,0
76,2021-03-08,116.36000061035156,0
77,2021-03-09,121.08999633789062,0
78,2021-03-10,119.9800033569336,0
79,2021-03-11,121.95999908447266,0
80,2021-03-12,121.02999877929688,0
81,2021-03-15,123.98999786376953,0
82,2021-03-16,125.56999969482422,0
83,2021-03-17,124.76000213623047,0
84,2021-03-18,120.52999877929688,0
85,2021-03-19,119.98999786376953,0
86,2021-03-22,123.38999938964844,0
87,2021-03-23,122.54000091552734,0
88,2021-03-24,120.08999633789062,0
89,2021-03-25,120.58999633789062,0
90,2021-03-26,121.20999908447266,0
91,2021-03-29,121.38999938964844,0
92,2021-03-30,119.9000015258789,0
93,2021-03-31,122.1500015258789,0
94,2021-04-01,123.0,0
95,2021-04-05,125.9000015258789,0
96,2021-04-06,126.20999908447266,0
97,2021-04-07,127.9000015258789,0
98,2021-04-08,130.36000061035156,0
99,2021-04-09,133.0,0
100,2021-04-12,131.24000549316406,0
101,2021-04-13,134.42999267578125,0
102,2021-04-14,132.02999877929688,0
103,2021-04-15,134.5,0
104,2021-04-16,134.16000366210938,1
105,2021-04-19,134.83999633789062,0
106,2021-04-20,133.11000061035156,1
107,2021-04-21,133.5,0
108,2021-04-22,131.94000244140625,0
109,2021-04-23,134.32000732421875,0
110,2021-04-26,134.72000122070312,0
111,2021-04-27,134.38999938964844,1
112,2021-04-28,133.5800018310547,1
113,2021-04-29,133.47999572753906,1
114,2021-04-30,131.4600067138672,0
115,2021-05-03,132.5399932861328,0
116,2021-05-04,127.8499984741211,0
117,2021-05-05,128.10000610351562,0
118,2021-05-06,129.74000549316406,0
119,2021-05-07,130.2100067138672,0
120,2021-05-10,126.8499984741211,0
121,2021-05-11,125.91000366210938,0
122,2021-05-12,122.7699966430664,0
123,2021-05-13,124.97000122070312,0
124,2021-05-14,127.44999694824219,0
125,2021-05-17,126.2699966430664,0
126,2021-05-18,124.8499984741211,0
127,2021-05-19,124.69000244140625,0
128,2021-05-20,127.30999755859375,0
129,2021-05-21,125.43000030517578,0
130,2021-05-24,127.0999984741211,0
131,2021-05-25,126.9000015258789,0
132,2021-05-26,126.8499984741211,0
133,2021-05-27,125.27999877929688,0
134,2021-05-28,124.61000061035156,0
135,2021-06-01,124.27999877929688,0
136,2021-06-02,125.05999755859375,0
137,2021-06-03,123.54000091552734,0
138,2021-06-04,125.88999938964844,0
139,2021-06-07,125.9000015258789,0
140,2021-06-08,126.73999786376953,0
141,2021-06-09,127.12999725341797,0
142,2021-06-10,126.11000061035156,0
143,2021-06-11,127.3499984741211,0
144,2021-06-14,130.47999572753906,0
145,2021-06-15,129.63999938964844,0
146,2021-06-16,130.14999389648438,0
